fid,FT,Sub,Macs,Depth,Shelter,Slack,Predicted_Classification,Manual_sort
210,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
212,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
213,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
215,G,FINE,LOW,MID,TRUE,TRUE,Adult,Adult
216,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
223,G,FINE,LOW,DEEP,TRUE,FALSE,Adult,Adult
224,G,FINE,LOW,DEEP,TRUE,FALSE,Adult,Adult
225,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
226,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
259,NA,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
263,G,FINE,LOW,MID,TRUE,TRUE,Adult,Adult
277,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
279,G,FINE,MEDIUM,MID,TRUE,TRUE,Adult,Adult
284,G,FINE,LOW,MID,TRUE,TRUE,Adult,Adult
289,G,FINE,MEDIUM,MID,TRUE,FALSE,Adult,Adult
290,P,FINE,LOW,DEEP,TRUE,TRUE,Adult,Adult
295,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
357,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
361,G,FINE,LOW,MID,TRUE,FALSE,Adult,Adult
367,G,FINE,LOW,DEEP,TRUE,TRUE,Adult,Adult
368,G,FINE,MEDIUM,MID,TRUE,TRUE,Adult,Adult
370,G,FINE,LOW,DEEP,TRUE,TRUE,Adult,Adult
373,G,COARSE,LOW,MID,TRUE,FALSE,Adult,Adult
374,G,FINE,LOW,DEEP,TRUE,FALSE,Adult,Adult
375,G,FINE,MEDIUM,DEEP,TRUE,TRUE,Adult,Adult
382,G,MIXED,MEDIUM,DEEP,TRUE,FALSE,Adult,Adult
383,G,MIXED,MEDIUM,DEEP,TRUE,TRUE,Adult,Adult
385,G,FINE,LOW,MID,TRUE,TRUE,Adult,Adult
386,G,FINE,MEDIUM,DEEP,TRUE,FALSE,Adult,Adult
