fid,FT,Sub,Macs,Depth,Shelter,Slack,New_sort
214,G,FINE,LOW,MID,1,1,Adult
258,G,FINE,LOW,MID,1,0,Adult
262,P,FINE,LOW,DEEP,1,1,Adult
270,G,FINE,MEDIUM,MID,1,0,Adult
286,G,MIXED,LOW,MID,1,0,Adult
294,G,FINE,LOW,DEEP,1,1,Adult
371,G,FINE,MEDIUM,MID,1,1,Adult
387,G,FINE,LOW,DEEP,1,0,Adult
395,G,FINE,LOW,MID,1,0,Adult
403,G,MIXED,LOW,DEEP,1,1,Adult
435,G,FINE,LOW,MID,1,0,Adult
443,P,FINE,HIGH,DEEP,1,0,Adult
451,G,NV,HIGH,DEEP,1,0,Adult
475,U,FINE,HIGH,DEEP,1,0,Adult
491,G,FINE,MEDIUM,MID,1,0,Adult
609,G,COARSE,LOW,MID,1,1,Adult
684,G,FINE,LOW,DEEP,1,1,Adult
708,G,FINE,LOW,DEEP,1,1,Adult
724,G,FINE,LOW,MID,1,1,Adult
116,G,FINE,HIGH,MID,0,1,Juvenile
266,G,FINE,HIGH,MID,0,0,Juvenile
291,G,FINE,HIGH,MID,1,1,Juvenile
467,G,FINE,HIGH,MID,1,0,Juvenile
483,G,COARSE,HIGH,MID,0,0,Juvenile
510,G,COARSE,HIGH,MID,0,0,Juvenile
518,G,COARSE,HIGH,MID,0,1,Juvenile
534,G,FINE,HIGH,MID,0,1,Juvenile
577,G,COARSE,HIGH,MID,1,1,Juvenile
593,G,COARSE,HIGH,MID,0,0,Juvenile
601,G,COARSE,HIGH,MID,1,0,Juvenile
620,G,MIXED,HIGH,MID,0,0,Juvenile
644,G,COARSE,HIGH,MID,0,1,Juvenile
652,G,MIXED,HIGH,MID,0,0,Juvenile
668,G,FINE,HIGH,MID,1,0,Juvenile
700,G,MIXED,HIGH,MID,1,0,Juvenile
4,G,COARSE,LOW,SHALLOW,1,1,Spawning
12,G,COARSE,LOW,SHALLOW,1,0,Spawning
29,R,COARSE,LOW,SHALLOW,1,0,Spawning
38,U,COARSE,LOW,SHALLOW,1,0,Spawning
54,G,COARSE,HIGH,SHALLOW,1,1,Spawning
339,U,COARSE,HIGH,SHALLOW,1,1,Spawning
342,G,COARSE,HIGH,SHALLOW,1,1,Spawning
350,G,COARSE,MEDIUM,SHALLOW,1,0,Spawning
542,U,COARSE,HIGH,SHALLOW,0,0,Spawning
550,R,COARSE,HIGH,SHALLOW,0,1,Spawning
558,G,COARSE,HIGH,SHALLOW,0,1,Spawning
636,G,COARSE,HIGH,SHALLOW,1,1,Spawning
7,G,FINE,LOW,SHALLOW,1,0,Unsuitable
17,G,MIXED,LOW,SHALLOW,1,0,Unsuitable
23,G,FINE,LOW,SHALLOW,1,0,Unsuitable
31,G,FINE,LOW,SHALLOW,1,0,Unsuitable
43,G,FINE,LOW,SHALLOW,1,0,Unsuitable
47,G,MIXED,LOW,SHALLOW,1,0,Unsuitable
58,G,MIXED,LOW,SHALLOW,1,0,Unsuitable
61,G,MIXED,LOW,SHALLOW,1,1,Unsuitable
65,G,NV,LOW,SHALLOW,1,0,Unsuitable
66,G,NV,LOW,SHALLOW,1,1,Unsuitable
82,G,NV,LOW,SHALLOW,1,0,Unsuitable
83,G,NV,LOW,SHALLOW,1,0,Unsuitable
95,G,FINE,LOW,SHALLOW,0,0,Unsuitable
96,G,FINE,LOW,SHALLOW,1,0,Unsuitable
103,G,FINE,HIGH,SHALLOW,0,0,Unsuitable
104,G,FINE,HIGH,SHALLOW,0,0,Unsuitable
118,G,FINE,HIGH,SHALLOW,0,0,Unsuitable
119,G,FINE,HIGH,SHALLOW,1,0,Unsuitable
127,G,FINE,HIGH,SHALLOW,0,1,Unsuitable
128,G,FINE,MEDIUM,SHALLOW,0,0,Unsuitable
147,G,NV,HIGH,SHALLOW,1,1,Unsuitable
149,G,NV,LOW,SHALLOW,1,0,Unsuitable
151,G,FINE,HIGH,SHALLOW,0,0,Unsuitable
155,G,NV,MEDIUM,SHALLOW,1,1,Unsuitable
164,G,NV,LOW,SHALLOW,0,1,Unsuitable
165,G,NV,LOW,SHALLOW,1,1,Unsuitable
175,G,NV,LOW,SHALLOW,1,0,Unsuitable
176,G,FINE,HIGH,SHALLOW,1,0,Unsuitable
181,G,FINE,LOW,SHALLOW,1,0,Unsuitable
183,G,FINE,MEDIUM,SHALLOW,1,0,Unsuitable
188,U,NV,HIGH,SHALLOW,0,1,Unsuitable
190,G,MIXED,HIGH,SHALLOW,1,0,Unsuitable
194,U,MIXED,MEDIUM,SHALLOW,0,0,Unsuitable
197,U,MIXED,MEDIUM,SHALLOW,1,0,Unsuitable
203,G,FINE,LOW,SHALLOW,1,0,Unsuitable
205,G,MIXED,MEDIUM,SHALLOW,1,0,Unsuitable
211,G,FINE,LOW,SHALLOW,1,0,Unsuitable
219,G,FINE,LOW,SHALLOW,1,0,Unsuitable
222,G,FINE,LOW,SHALLOW,1,0,Unsuitable
227,G,MIXED,LOW,SHALLOW,1,0,Unsuitable
230,U,MIXED,LOW,SHALLOW,1,0,Unsuitable
235,G,MIXED,MEDIUM,SHALLOW,1,1,Unsuitable
238,G,MIXED,HIGH,SHALLOW,1,0,Unsuitable
243,G,FINE,HIGH,SHALLOW,1,0,Unsuitable
246,G,FINE,LOW,SHALLOW,1,0,Unsuitable
251,SLACK,NV,HIGH,SHALLOW,0,0,Unsuitable
254,G,MIXED,MEDIUM,SHALLOW,0,0,Unsuitable
274,U,MIXED,HIGH,SHALLOW,1,1,Unsuitable
278,G,FINE,HIGH,SHALLOW,0,0,Unsuitable
282,G,FINE,LOW,SHALLOW,0,1,Unsuitable
299,G,MIXED,LOW,SHALLOW,1,0,Unsuitable
302,G,MIXED,HIGH,SHALLOW,1,1,Unsuitable
307,G,MIXED,LOW,SHALLOW,0,1,Unsuitable
310,G,MIXED,MEDIUM,SHALLOW,0,0,Unsuitable
315,G,FINE,HIGH,SHALLOW,1,1,Unsuitable
318,U,MIXED,HIGH,SHALLOW,1,1,Unsuitable
323,G,FINE,LOW,SHALLOW,1,0,Unsuitable
326,G,MIXED,MEDIUM,SHALLOW,1,0,Unsuitable
331,G,MIXED,MEDIUM,SHALLOW,0,0,Unsuitable
334,G,MIXED,HIGH,SHALLOW,1,1,Unsuitable
347,G,MIXED,MEDIUM,SHALLOW,1,1,Unsuitable
355,G,MIXED,HIGH,SHALLOW,0,0,Unsuitable
358,G,MIXED,LOW,SHALLOW,1,0,Unsuitable
363,G,FINE,MEDIUM,MID,0,1,Unsuitable
